expert_id,ddd,AVG(profit),new_id
97,21,20.09238095,0
118,21,10.03428571,1
134,21,1.732380952,2
106,22,15.90136364,3
129,22,4.226363636,4
70,23,58.11043478,5
133,23,1.245652174,6
25,24,20.40625,7
64,24,5.971666667,8
84,24,5.660833333,9
115,25,7.1576,10
49,26,24.34961538,11
138,26,-0.455,12
128,27,5.523703704,13
135,27,2.040740741,14
72,28,55.6375,15
99,28,25.435,16
121,28,9.233214286,17
46,30,20.92233333,18
67,30,40.222,19
92,30,26.57366667,20
62,31,29.17612903,21
93,31,35.46290323,22
104,31,13.88645161,23
15,33,61.30757576,24
107,35,11.69457143,25
130,36,2.698611111,26
124,38,5.688648649,27
89,39,35.32512821,28
127,39,4.872307692,29
82,41,53.37585366,30
74,42,17.09357143,31
80,43,15.14790698,32
60,45,50.338,33
76,45,45.85866667,34
114,48,21.79625,35
30,49,17.44204082,36
24,50,25.1498,37
105,52,13.44365385,38
56,53,26.22716981,39
65,54,9.429074074,40
31,55,17.93272727,41
54,56,26.19642857,42
73,56,32.19660714,43
109,59,10.89169492,44
126,68,3.76,45
32,73,30.20630137,46
125,74,2.401486486,47
137,74,-1.424189189,48
8,82,47.06109756,49
27,84,34.99809524,50
61,87,22.8283908,51
86,89,8.999101124,52
42,90,14.71288889,53
33,92,19.06652174,54
75,94,58.82851064,55
87,97,4.959793814,56
117,103,8.243009709,57
59,105,28.59961905,58
91,108,5.246388889,59
100,110,13.93072727,60
12,123,20.69390244,61
38,132,33.09969697,62
40,148,38.99966216,63
10,165,30.21345455,64
11,170,35.99652941,65
19,175,21.45091429,66
48,194,7.708917526,67
17,222,22.61648649,68
9,230,31.41930435,69
13,273,36.28124542,70
44,276,33.81786232,71
20,288,25.4525,72
50,290,31.84182759,73
35,346,28.09182081,74
22,535,31.85364486,75
16,613,23.35761827,76
21,719,16.36962448,77
39,740,19.08695946,78
26,795,22.52802516,79
34,805,42.4150559,80
28,1060,45.08751887,81
55,1515,39.69761716,82
23,1541,37.37144062,83
41,1944,32.31622942,84
