symbol_id,ddd,AVG(profit)
10,142,10.97408451
11,110,22.72454545
17,129,30.67147287
19,155,20.82541935
24,107,19.66308411
25,107,46.15579439
26,118,30.40949153
27,133,41.72218045
30,136,44.08183824
31,86,15.12360465
32,103,21.81864078
39,184,18.27429348
51,165,41.27339394
57,140,29.63514286
76,123,40.97113821
91,151,50.28887417
100,172,29.76098837
116,203,26.30004926
140,92,12.78956522
142,100,43.8444
143,82,36.26719512
159,98,37.97459184
166,176,43.92534091
177,88,10.70852273
178,103,18.11854369
190,156,44.29685897
197,119,42.4289916
215,88,19.74318182
218,98,8.244897959
219,121,36.70280992
223,113,62.70044248
235,159,55.03798742
240,164,39.7875
252,101,33.47455446
257,166,23.45355422
259,150,34.152
272,129,36.59666667
274,110,37.44063636
277,163,36.40042945
291,97,5.972061856
292,107,39.37897196
293,91,37.90879121
308,95,64.43431579
330,104,20.42701923
331,104,23.42230769
342,102,51.67823529
358,125,35.56976
359,102,38.57352941
361,115,28.3333913
377,86,44.24755814
387,110,56.96363636
388,83,27.34795181
389,105,41.68095238
477,108,59.58537037
